X,Y,OBJECTID,CODI_ENS,NOM_ENS,TIPUS,MODEL,LONGITUD,LATITUD,EXTRACCIO
418728.7256,4576830.896,24140,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.028667,41.338869,2023/04/10 07:10:15+00
419308.7157,4577447.5348,24141,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.035516,41.344481,2023/04/10 07:10:15+00
419348.243,4577367.7075,24142,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.035999,41.343766,2023/04/10 07:10:15+00
418530.2557,4577689.9566,24413,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.02618,41.346586,2023/04/10 07:10:15+00
419540.964,4577671.1275,24414,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.038262,41.346518,2023/04/10 07:10:15+00
418920.3418,4577600.9803,24415,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.030854,41.345824,2023/04/10 07:10:15+00
418714.8631,4578155.4427,24416,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.028324,41.350797,2023/04/10 07:10:15+00
418530.241,4577882.3757,24417,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.026154,41.348319,2023/04/10 07:10:15+00
418535.0467,4578042.0973,24418,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.02619,41.349758,2023/04/10 07:10:15+00
418538.8006,4578301.8708,24419,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.0262,41.352098,2023/04/10 07:10:15+00
418671.0015,4578258.0841,24420,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.027786,41.351717,2023/04/10 07:10:15+00
418370.9819,4578280.6626,24421,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.024197,41.35189,2023/04/10 07:10:15+00
418288.6087,4578209.641,24422,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.023222,41.351242,2023/04/10 07:10:15+00
