,base_solution,heuristic,search,iterations,temp_coef,population_size,mutation_probability,tabu_queue_coef,swap_any_to_generate,TotalDistance,TotalTime,UnusedTrucksCount,OrphansCount,execution_time,TotalFuel,TrucksCount
231,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,GENETIC,200.0,,10.0,0.3,,,1804.8861000000002,4.799982224457396,0,0,175.56886291503906,451.22152500000004,20
232,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION_FIXED2,ANNEALING,5000.0,1e-05,,,,,1784.6411999999998,12.856746670391953,0,0,132.9584698677063,446.16029999999995,10
233,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION,TABU,500.0,,,,0.3,500.0,1771.8407000000004,6.542464447424676,0,0,577.1829371452332,442.9601750000001,15
234,SIMPLE_GREEDY,ANY_MOVE_SWAP,ANNEALING,3000.0,0.0001,,,,,1779.3272000000002,13.230853337058623,0,0,150.25010895729065,444.83180000000004,10
235,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,ANNEALING,5000.0,0.0001,,,,,1805.0481,4.800986668901841,0,0,319.9296419620514,451.262025,20
236,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,GENETIC,400.0,,20.0,0.1,,,1779.6031,6.7003555585357875,0,0,477.1204311847687,444.900775,15
237,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,GENETIC,200.0,,20.0,0.3,,,1804.8981,4.799982224457396,0,0,248.1870539188385,451.224525,20
238,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,GENETIC,400.0,,10.0,0.3,,,1741.1022999999996,12.807711114836401,0,0,267.30071687698364,435.2755749999999,10
239,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,GENETIC,400.0,,10.0,0.1,,,1801.1227999999996,4.799982224457396,0,0,425.2722499370575,450.2806999999999,20
240,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,GENETIC,400.0,,20.0,0.1,,,1737.8274999999996,12.798740003725289,0,0,460.4628257751465,434.4568749999999,10
241,SIMPLE_GREEDY,ANY_MOVE_SWAP,TABU,200.0,,,,0.5,,1743.9781999999998,12.880893337058625,0,0,62.98446297645569,435.99454999999995,10
242,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION,ANNEALING,3000.0,1e-05,,,,,1792.1471,4.742800002235173,0,0,324.8714048862457,448.036775,20
243,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,TABU,200.0,,,,0.5,,1780.4882999999998,6.672011114091343,0,0,63.97955513000488,445.12207499999994,15
244,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,ANNEALING,3000.0,1e-05,,,,,1836.0331000000003,4.914980002235174,0,0,91.38893914222717,459.0082750000001,20
245,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION_FIXED2,TABU,200.0,,,,0.5,,1740.9296999999995,12.575477781503068,0,0,64.33836007118225,435.23242499999986,10
246,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,ANNEALING,5000.0,0.0001,,,,,1782.4073000000003,6.674691114091342,0,0,337.18868374824524,445.6018250000001,15
247,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,TABU,500.0,,,,0.5,,1790.5222,6.6943022252024535,0,0,69.37414503097534,447.63055,15
248,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,ANNEALING,3000.0,0.0001,,,,,1792.8726,12.888613337058622,0,0,138.54085302352905,448.21815,10
249,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION,TABU,500.0,,,,0.5,,1735.0102,12.707046670391957,0,0,108.95243072509766,433.75255,10
250,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,TABU,500.0,,,,0.3,,1757.2107999999998,12.935966670391958,0,0,76.65162205696106,439.30269999999996,10
251,SIMPLE_GREEDY,ANY_EXPORTATION,TABU,500.0,,,,0.3,500.0,1746.2167999999997,12.842895559280844,0,0,474.21429800987244,436.5541999999999,10
