FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20bd,loc1109,1109,Hermanstraat,109,huisvuil - loc1109,53.2359,6.5622,POINT (233453.118 583898.979)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20bc,loc1110,1110,De Hoogte,110,huisvuil - loc1110,53.2354,6.563,POINT (233506.212 583837.511)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20bb,loc1111,1111,Idastraat,111,huisvuil - loc1111,53.2356,6.5642,POINT (233587.97 583861.109)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20ba,loc1112,1112,Bedumerweg Noord,112,huisvuil - loc1112,53.235,6.5649,POINT (233636.969 583805.141)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b9,loc1113,1113,Noorderspoorsingel Zuid,113,huisvuil - loc1113,53.2355,6.5601,POINT (233311.69 583848.811)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b8,loc1114,1114,Reinautstraat West,114,huisvuil - loc1114,53.2351,6.562,POINT (233437.989 583803.005)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b7,loc1115,1115,Reinautstraat Oost,115,huisvuil - loc1115,53.2348,6.5637,POINT (233553.967 583775.957)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b6,loc1116,1116,Borgwal,116,huisvuil - loc1116,53.2346,6.5616,POINT (233417.55 583745.904)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b5,loc1117,1117,Oldebarneveltlaan Noord,117,huisvuil - loc1117,53.2344,6.5604,POINT (233334.959 583732.314)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b4,loc1118,1118,Borgplein,118,huisvuil - loc1118,53.234,6.5622,POINT (233455.361 583679.734)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b3,loc1119,1119,Oldebarneveltlaan Zuid,119,huisvuil - loc1119,53.2338,6.56,POINT (233310.008 583665.121)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b2,loc1120,1120,Van Slingerlandtstraat,120,huisvuil - loc1120,53.2334,6.5607,POINT (233359.619 583612.5)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b1,loc1121,1121,Jacob Catsstraat,121,huisvuil - loc1121,53.2331,6.5616,POINT (233414.119 583587.787)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b0,loc1122,1122,Bedumerstraat Oost,122,huisvuil - loc1122,53.2331,6.5625,POINT (233476.881 583588.81)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20af,loc1122,1122,Bedumerstraat Oost,123,huisvuil - loc1122,53.2331,6.5625,POINT (233476.881 583588.81)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20ae,loc1123,1123,Bedumerweg Midden Noord,124,huisvuil - loc1123,53.233,6.5633,POINT (233531.905 583573.012)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20ad,loc1124,1124,Asingastraat Noord,125,huisvuil - loc1124,53.2324,6.5608,POINT (233363.977 583509.053)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20ac,loc1125,1125,Asingastraat Zuid,126,huisvuil - loc1125,53.2324,6.5607,POINT (233360.116 583500.085)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20ab,loc1125,1125,Asingastraat Zuid,127,huisvuil - loc1125,53.2324,6.5607,POINT (233360.116 583500.085)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20aa,loc1126,1126,Bedumerweg Midden Zuid,128,huisvuil - loc1126,53.2323,6.5628,POINT (233500.496 583492.356)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a9,loc1127,1127,Adriaan Pauwstraat Noord,129,huisvuil - loc1127,53.2323,6.5596,POINT (233287.481 583489.997)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a8,loc1127,1127,Adriaan Pauwstraat Noord,130,huisvuil - loc1127,53.2323,6.5596,POINT (233287.481 583489.997)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a7,loc1128,1128,Johan de Wittstraat Noord,131,huisvuil - loc1128,53.2318,6.5613,POINT (233401.789 583442.882)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a6,loc1128,1128,Johan de Wittstraat Noord,132,huisvuil - loc1128,53.2318,6.5613,POINT (233401.789 583442.882)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a5,loc1129,1129,Bedumerweg Zuid,133,huisvuil - loc1129,53.2309,6.5621,POINT (233455.505 583343.579)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a4,loc1130,1130,Adriaan Pauwstraat Zuid,134,huisvuil - loc1130,53.2308,6.5592,POINT (233258.708 583329.243)
