FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2169,Loc3689,3689,Paterswoldseweg,G106,glas - Loc3689,53.211,6.5565,POINT (233116.935 581119.667)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2168,Loc3691,3691,Bordewijklaan 47-75,G478,glas - Loc3691,53.1906,6.5764,POINT (234484.529 578868.008)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2167,Loc3692,3692,Friesestraatweg/Woldring,G156,glas - Loc3692,53.2211,6.5399,POINT (231989.358 582224.609)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2166,Loc3693,3693,Barkmolenstraat,G480,glas - Loc3693,53.2149,6.581,POINT (234744.463 581577.124)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2165,Loc3709,3709,Meeroeverslaan Meerstad,G13,glas - Loc3709,53.2221,6.6509,POINT (239399.411 582461.311)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2164,Loc3711,3711,Hoogeweg,G498,glas - Loc3711,53.235,6.5276,POINT (231147.356 583759.521)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2163,Loc3714,3714,G. Meirstraat,G500,glas - Loc3714,53.1883,6.5577,POINT (233236.173 578593.786)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2162,Loc3716,3716,Wibenaheerd,G244,glas - Loc3716,53.247,6.6052,POINT (236302.429 585180.751)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2161,Loc3717,3717,Patersoldseweg / Stephensonsstraat,G501,glas - Loc3717,53.2096,6.557,POINT (233150.827 580966.611)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2160,Loc3720,3720,Boerhaavenlaan,G703,glas - Loc3720,53.1969,6.552,POINT (232842.335 579547.994)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-215f,Loc3721,3721,Planetenlaan,G705,glas - Loc3721,53.235,6.5381,POINT (231844.394 583770.606)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-215e,Loc3725,3725,Plutolaan 415 tm 497,G456,glas - Loc3725,53.2333,6.5382,POINT (231852.689 583585.964)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-215d,Loc3739,3739,Sint Walburgstraat,G494,glas - Loc3739,53.2206,6.568,POINT (233866.331 582199.348)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-215c,Loc3742,3742,J.M. den Uylstraat,G433,glas - Loc3742,53.1895,6.5602,POINT (233406.386 578733.463)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-215b,Loc3744,3744,Rijksstraatweg,G374,glas - Loc3744,53.1432,6.6261,POINT (237894.114 573656.112)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-215a,Loc3747,3747,Friesestraatweg 205-207,G496,glas - Loc3747,53.2281,6.5335,POINT (231552.168 582997.911)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2159,Loc3751,3751,Wouter van Doeverenplein,G706,glas - Loc3751,53.2267,6.5709,POINT (234048.892 582879.109)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2158,Loc3752,3752,Lammetjesplein,G707,glas - Loc3752,53.2322,6.6536,POINT (239565.32 583587.375)
