FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a6f,Loc6027,6027,Nieuwlandsweg,P671,papier - Loc6027,53.168,6.6141,POINT (237044.383 576393.12)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a6e,GVP0001,,Woldweg 68-1 tm 68-16,G160181,papier - GVP0001,53.2322,6.6283,POINT (237871.38 583557.884)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a6d,GVP0001,,Woldweg 68-1 tm 68-16,G160200,papier - GVP0001,53.2322,6.6283,POINT (237871.38 583557.884)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a6c,GVP0001,,Woldweg 68-1 tm 68-16,G160790,papier - GVP0001,53.2322,6.6283,POINT (237871.38 583557.884)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a6b,GVP0001,,Woldweg 68-1 tm 68-16,G160206,papier - GVP0001,53.2322,6.6283,POINT (237871.38 583557.884)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a6a,GVP0002,,Woldjerspoorweg 10-26,G160380,papier - GVP0002,53.2073,6.6503,POINT (239390.257 580812.612)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a69,GVP0002,,Woldjerspoorweg 10-26,G162117,papier - GVP0002,53.2073,6.6503,POINT (239390.257 580812.612)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a68,GVP0002,,Woldjerspoorweg 10-26,G162111,papier - GVP0002,53.2073,6.6503,POINT (239390.257 580812.612)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a67,GVP0002,,Woldjerspoorweg 10-26,G160219,papier - GVP0002,53.2073,6.6503,POINT (239390.257 580812.612)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a66,GVP0003,,A Jacobstraat 35-67,G162895,papier - GVP0003,53.1874,6.5482,POINT (232605.515 578482.295)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a65,GVP0003,,A Jacobstraat 35-67,G162896,papier - GVP0003,53.1874,6.5482,POINT (232605.515 578482.295)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a64,GVP0004,,A Jacobstraat 135-167,G162897,papier - GVP0004,53.1838,6.5464,POINT (232488.184 578087.491)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a63,GVP0004,,A Jacobstraat 135-167,G162898,papier - GVP0004,53.1838,6.5464,POINT (232488.184 578087.491)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a62,GVP0005,,P J Noel bakerstraat 2-52,G162899,papier - GVP0005,53.1872,6.5547,POINT (233039.033 578464.811)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a61,GVP0005,,P J Noel bakerstraat 2-52,G162900,papier - GVP0005,53.1872,6.5547,POINT (233039.033 578464.811)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a60,GVP0006,,P J Noel bakerstraat 54-104,G162901,papier - GVP0006,53.1868,6.5545,POINT (233025.05 578420.061)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a5f,GVP0006,,P J Noel bakerstraat 54-104,G162902,papier - GVP0006,53.1868,6.5545,POINT (233025.05 578420.061)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a5e,GVP0007,,P J Noel bakerstraat 106-156,G162903,papier - GVP0007,53.1864,6.5543,POINT (233011.735 578375.322)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a5d,GVP0007,,P J Noel bakerstraat 106-156,G162904,papier - GVP0007,53.1864,6.5543,POINT (233011.735 578375.322)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a5c,GVP0008,,P J Noel bakerstraat 158-208,G162905,papier - GVP0008,53.186,6.554,POINT (232998.401 578331.696)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a5b,GVP0008,,P J Noel bakerstraat 158-208,G162906,papier - GVP0008,53.186,6.554,POINT (232998.401 578331.696)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a5a,GVP0009,,Bordewijk 119-149,G161903,papier - GVP0009,53.1886,6.5774,POINT (234550.939 578652.052)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a59,GVP0009,,Bordewijk 119-149,G160310,papier - GVP0009,53.1886,6.5774,POINT (234550.939 578652.052)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a58,GVP0009,,Bordewijk 119-149,G161912,papier - GVP0009,53.1886,6.5774,POINT (234550.939 578652.052)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a57,GVP0010,,Granpré Molièreweg 52 1 - 52 10,G161975,papier - GVP0010,53.2447,6.5778,POINT (234479.779 584895.373)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a56,GVP0010,,Granpré Molièreweg 52 1 - 52 10,G161977,papier - GVP0010,53.2447,6.5778,POINT (234479.779 584895.373)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a55,GVP0010,,Granpré Molièreweg 52 1 - 52 10,G161978,papier - GVP0010,53.2447,6.5778,POINT (234479.779 584895.373)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a54,GVP0011,,A. Morostraat 2 t/m 30,G162009,papier - GVP0011,53.1865,6.5617,POINT (233508.092 578400.082)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a53,GVP0012,,Melisseweg 19 t/m 75,G162907,papier - GVP0012,53.2355,6.5949,POINT (235633.682 583892.741)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a52,GVP0012,,Melisseweg 19 t/m 75,G162908,papier - GVP0012,53.2355,6.5949,POINT (235633.682 583892.741)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a51,GVP0012,,Melisseweg 19 t/m 75,G162909,papier - GVP0012,53.2355,6.5949,POINT (235633.682 583892.741)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a50,GVP0012,,Melisseweg 19 t/m 75,G162910,papier - GVP0012,53.2355,6.5949,POINT (235633.682 583892.741)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a4f,GVP0012,,Melisseweg 19 t/m 75,G162911,papier - GVP0012,53.2355,6.5949,POINT (235633.682 583892.741)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a4e,GVP0013,,L.M. van Noppenstraat 55 t/m 71,G162379,papier - GVP0013,53.19,6.5539,POINT (232981.2 578774.423)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a4d,GVP0013,,L.M. van Noppenstraat 55 t/m 71,G162403,papier - GVP0013,53.19,6.5539,POINT (232981.2 578774.423)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a4c,GVP0014,,Breedeborg 1 t/m 14,G172055,papier - GVP0014,53.1947,6.5955,POINT (235750.087 579344.315)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a4b,GVP0014,,Breedeborg 1 t/m 14,G172054,papier - GVP0014,53.1947,6.5955,POINT (235750.087 579344.315)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a4a,GVP0014,,Breedeborg 1 t/m 14,G175283,papier - GVP0014,53.1947,6.5955,POINT (235750.087 579344.315)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a49,GVP0014,,Breedeborg 1 t/m 14,G175278,papier - GVP0014,53.1947,6.5955,POINT (235750.087 579344.315)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a48,GVP0016,,De Overtoom 2 t/m 24,40000399,papier - GVP0016,53.2322,6.6548,POINT (239645.521 583584.334)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a47,GVP0016,,De Overtoom 2 t/m 24,40000400,papier - GVP0016,53.2322,6.6548,POINT (239645.521 583584.334)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a46,GVP0020,,Wassenberghstraat 26 t/m 26e,40000027,papier - GVP0020,53.2182,6.5511,POINT (232742 581909.459)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a45,GVP0021,,Kornalijnlaan 50 t/m 60,40000777,papier - GVP0021,53.2288,6.529,POINT (231248.451 583069.892)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a44,Loc2990,2990,Anjerplein 7 tm 29,40000008,papier - Loc2990,53.172,6.6239,POINT (237693.241 576858.353)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a43,Loc2990,2990,Anjerplein 7 tm 29,40000029,papier - Loc2990,53.172,6.6239,POINT (237693.241 576858.353)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a42,Loc2990,2990,Anjerplein 7 tm 29,40000034,papier - Loc2990,53.172,6.6239,POINT (237693.241 576858.353)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a41,Loc2991,2991,Anjerplein 32 tm 51,40000049,papier - Loc2991,53.172,6.6239,POINT (237695.916 576858.399)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a40,Loc2991,2991,Anjerplein 32 tm 51,40000177,papier - Loc2991,53.172,6.6239,POINT (237695.916 576858.399)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a3f,Loc2991,2991,Anjerplein 32 tm 51,40000218,papier - Loc2991,53.172,6.6239,POINT (237695.916 576858.399)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a3e,loc2994,2994,Anjerplein 52 t/m 70,40000266,papier - loc2994,53.1715,6.6252,POINT (237779.189 576799.722)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a3d,loc2994,2994,Anjerplein 52 t/m 70,40000353,papier - loc2994,53.1715,6.6252,POINT (237779.189 576799.722)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a3c,loc2994,2994,Anjerplein 52 t/m 70,40000389,papier - loc2994,53.1715,6.6252,POINT (237779.189 576799.722)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a3b,loc2995,2995,Anjerplein 71 t/m 89,40000415,papier - loc2995,53.1713,6.6239,POINT (237697.329 576776.054)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a3a,loc2995,2995,Anjerplein 71 t/m 89,40000418,papier - loc2995,53.1713,6.6239,POINT (237697.329 576776.054)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a39,loc2995,2995,Anjerplein 71 t/m 89,40000839,papier - loc2995,53.1713,6.6239,POINT (237697.329 576776.054)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a38,Loc3500,3500,Duinkerkenstraat,P2,papier - Loc3500,53.1978,6.6117,POINT (236829.429 579712.05)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a37,Loc3501,3501,Zuiderweg,P148,papier - Loc3501,53.2149,6.5014,POINT (229429.358 581495.339)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a36,Loc3501,3501,Zuiderweg,P150,papier - Loc3501,53.2149,6.5014,POINT (229429.358 581495.339)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a35,loc3502,3502,C. Jetsesstraat,P103,papier - loc3502,53.2056,6.5027,POINT (229529.519 580463.957)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a34,loc3502,3502,C. Jetsesstraat,P105,papier - loc3502,53.2056,6.5027,POINT (229529.519 580463.957)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a33,loc3504,3504,De Held,P144,papier - loc3504,53.2278,6.5144,POINT (230276.55 582946.618)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a32,loc3504,3504,De Held,P146,papier - loc3504,53.2278,6.5144,POINT (230276.55 582946.618)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a31,loc3505,3505,Saffierstraat,P142,papier - loc3505,53.2297,6.5216,POINT (230752.715 583163.352)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a30,loc3505,3505,Saffierstraat,P300,papier - loc3505,53.2297,6.5216,POINT (230752.715 583163.352)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a2f,loc3507,3507,Siersteenlaan,P136,papier - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a2e,loc3507,3507,Siersteenlaan,P138,papier - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
